date,nav,fund_name
2024-10-18,5521.333,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-21,5524.1631,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-22,5525.1776,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-23,5526.2009,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-24,5527.3884,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-25,5528.4234,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-28,5531.4854,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-29,5532.5972,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-30,5533.6549,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-31,5535.049,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-04,5539.5214,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-05,5540.8795,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-06,5541.99,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-07,5543.2316,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-08,5544.3048,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-11,5547.5341,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-12,5548.5622,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-13,5549.7643,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-14,5550.9097,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-18,5555.0635,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-19,5556.1305,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-21,5557.9843,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-22,5559.0282,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-25,5562.2563,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-26,5563.3251,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-27,5564.3652,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-28,5565.3431,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-11-29,5566.4874,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-02,5569.9305,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-03,5570.896,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-04,5572.0927,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-05,5573.6012,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-06,5575.0097,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-09,5578.25,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-10,5579.1651,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-11,5580.1419,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-12,5580.6696,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-13,5580.9232,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-16,5584.4671,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-17,5585.572,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-18,5586.4179,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-19,5587.01,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-20,5588.072,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-23,5590.4471,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-24,5590.9435,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-26,5592.9244,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-27,5594.0951,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-30,5597.3384,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-12-31,5600.5771,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-01,5602.0594,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
